institucion,tipo,contenido_principal,url,fecha_corte,redistribuido
MMA,gubernamental,Metas y antecedentes de envases y embalajes,https://economiacircular.mma.gob.cl/envases-y-embalajes/,2026-09-15,no
BCN,gubernamental,Decreto Supremo 12/2020,https://www.bcn.cl/leychile/Navegar?idNorma=1157019,2026-09-15,no
RETC,gubernamental,Mapas y datos abiertos,https://retc.mma.gob.cl/mapas-open-data/,2026-09-15,no
RETC,gubernamental,Datos de productos prioritarios REP,https://datosretc.mma.gob.cl/es/dataset/productos-prioritarios-rep,2026-09-15,no
SMA,gubernamental,Información de la plataforma REP-SG,https://portal.sma.gob.cl/index.php/ley-rep-lanzan-nueva-plataforma-para-que-sistemas-de-gestion-informen-el-cumplimiento-de-metas/,2026-09-15,no
ASIPLA,sectorial,Estadísticas de la industria plástica,https://asipla.cl/estadisticas-de-la-industria/,2026-09-15,no
ANIR,sectorial,Estadísticas de reciclaje y material gestionado,https://anir.cl/estadisticas-del-reciclaje-en-chile-2024/,2026-09-15,no
ReSimple,sistema de gestión,Memorias anuales,https://resimple.cl/nosotros/memorias-anuales/,2026-09-15,no
Aduanas,gubernamental,Conjuntos de datos de comercio exterior,https://datos.gob.cl/organization/servicio_nacional_de_aduanas,2026-09-15,no
Banco Mundial,internacional,Población total de Chile,https://datos.bancomundial.org/indicador/SP.POP.TOTL?locations=CL,2026-09-15,no
